service_id,official_name,alias,source_site,detail_url,apply_url,authority,phone
WLF00010086,에너지바우처,냉난방비지원,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00010086,,읍면동주민센터,1600-3190
WLF00004574,문화누리카드,문화바우처,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004574,,읍면동주민센터,1544-3412
WLF00004564,자활지원,자활사업,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004564,,자활센터,129
WLF00004566,영유아보육료지원,보육료,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004566,,읍면동주민센터,129
WLF00004567,양육수당,가정양육수당,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004567,,읍면동주민센터,129
WLF00004571,장애아동수당,장애아동,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004571,,읍면동주민센터,129
WLF00004572,발달장애인지원,발달장애,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004572,,발달장애인지원센터,1577-1234
WLF00004573,청소년특별지원,위기청소년,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004573,,시군구청,129
WLF00004575_INVALID,어린이놀이시설배상책임보험,통신비지원,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004575,,통신사고객센터,114
WLF00004576,주거취약계층주거지원,고시원쪽방,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004576,,LH콜센터,1600-1004
WLF00004577,임신출산진료비지원,임신바우처,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004577,,건강보험공단,1577-1000
MOEL_UE001,구직급여,실업급여,bokjiro,https://www.ei.go.kr/ei/eih/eg/b/ehFrontEIApply.do,,고용복지플러스센터,1350
MOEL_YO001,국민취업지원제도,청년취업지원금,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003245,,고용복지플러스센터,1350
MOEL_MID001,중장년취업지원,고용24,bokjiro,https://www.work24.go.kr/cm/main.do,,고용복지플러스센터,1350
NHIS_LTC001,노인장기요양보험,장기요양등급,gov24,https://www.nhis.or.kr/nhis/policy/wbhace03800m01.do,,건강보험공단,1577-1000
SEOUL_RENT001,서울시청년월세지원,서울청년월세,local,https://youth.seoul.go.kr/site/main/content/monthlyrent,,서울시,120
SEOUL_EMG001,서울형긴급복지지원,서울긴급복지,local,https://welfare.seoul.go.kr/site/main/content/emergency_welfare,,읍면동주민센터,120
GG_YBI001,경기도청년기본소득,경기청년기본소득,local,https://basicincome.gg.go.kr,,경기도,031-120
SAEIL_001,경력단절여성취업지원,새일센터,bokjiro,https://www.saeil.mogef.go.kr,,새일센터,1544-1199
CHILD_001,아이돌봄서비스,아동돌봄쿠폰,bokjiro,https://www.idolbom.go.kr,,아이돌봄포털,1577-2306
MSS_001,소상공인경영안정자금,소상공인지원,bokjiro,https://www.semas.or.kr/web/SUB01/030101.kmdc,,소상공인진흥공단,1357
KINFA_001,청년도약계좌,,bokjiro,https://www.kinfa.or.kr/product/youthJumpAccount.do,,서민금융진흥원,1397
KINFA_002,청년내일저축계좌,청년저축,bokjiro,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00021311,,읍면동주민센터,129
EV_001,에너지바우처하계,여름에너지,bokjiro,https://www.energyvoucher.or.kr,,읍면동주민센터,1600-3190
EV_002,에너지바우처동계,겨울에너지,bokjiro,https://www.energyvoucher.or.kr,,읍면동주민센터,1600-3190
DANURI_001,다문화가족지원센터서비스,다문화센터,bokjiro,https://www.danuri.go.kr,,다문화가족지원센터,1577-1366
DANURI_002,결혼이민자취업교육지원,결혼이민자취업,bokjiro,https://www.danuri.go.kr/intro/KoreaLife_kor.do,,다문화가족지원센터,1577-1366
MOEL_FW001,외국인근로자의료지원,외국인의료,bokjiro,https://www.moel.go.kr/info/medicSupport/index.do,,외국인노동자지원센터,1644-0644
